question,answer
"halo dok, saya remaja 15 tahun. saya sedang haid hari ke 3. biasanya siklus haid saya selama 7 hari. lusa saya ada pengambilan nilai olahraga renang dok. semua siswa diwajibkan untuk ikut dok, tapi kan saya sedang haid dok. apakah ada cara untuk menghentikan darah haid selama saya berenang dok mohon bantuannya dok. terima kasih","menstruasi sewajarnya akan berlangsung selama 2 hingga 8 hari. namun, ada saja wanita yang durasi menstruasinya lebih singkat, atau justru lebih lama dari itu. hal ini banyak dipengaruhi oleh kondisi hormonal, genetik, aktifitas, gaya hidup yang dijalani, kondisi psikis, dan status kesehatan secara umum.jika anda biasanya mengalami menstruasi selama 7 hari, sejatinya bukanlah jaminan bahwa menstruasi anda saat ini akan berlangsung dengan durasi yang sama."
"putra saya usia 15 th, testis kirinya sakit dok, gada bengkak atau apa, itu kirakira kenapa ya dokter dan solusi mengatasinya seperti apa dok soalnya sakit nya itu hilang timbul dokter","alo,nyeri pada testis dapat disebabkan karena beberapa kondisi berikut iniepididimitisorchitishidrokelvarikokelhernia inguinaltorsio testiskista epididimiskeganasan pada testisnyeri pada testis bukanlah suatu hal yang normal dan perlu segera dipastikan penyebabnya. oleh sebab itu saya lebih menyarankan agar anda memeriksakan anak anda ke dokter secara langsung supaya bisa dilakukan pemeriksaan lebih lanjut dan bila perlu dilakukan pemeriksaan tambahan misalnya dengan usg untuk memastikan penyebab nyeri pada testisnya."
"dok saya kalau kena gorengan yang bukan masakan sendiri, tenggorokan saya jadi mudah gatalgatal. seharian saya kesiksa nih dokter. ini udah lama kaya gini dok, kaya udah kebiasaan. saya udah coba minum air hangat, wedang jahe, dan permen2 mint agar ini ilang tapi gak mempan juga. bagaimana cara yang tepat untuk mengatasi gatal sekali di tenggorokan","alo, selamat siangtenggorokan gatal dapat disebabkan oleh beberapa hal seperti reaksi alergiiritasiinfeksi virus atau bakteriradang amandeldan lainnyatenggorokan gatal umumnya tidak berbahya dan tidak perlu penangan khusus, sebab akan sembuh dengan sendirinya dalam waktu 710 hari. saran saya untuk anda menghindari kebiasaan makan gorengan berlebihan apalagi diluar yang tidak di jamin kebersihannya dan minyak yang digunakan juga bisa berulang kali yang rentan menyebabkan iritasi pada tenggorokan."
"saya berharihari susah bab dok, dan saya ngeden sekuat tenaga pas udahannya anus saya kok jadi muncul benjolan di bagian luar. itu apa bisa ilang dengan sendirinya dokter benjolannya itu benjolan daging dan di pegang gada rasa sakit. penyakit apa itu dokter namanya","benjolan di anus yang terasa nyeri, menyerupai daging, dan keluar sehabis sembelit serta mengejan kuat saat bab mungkin disebabkan oleh wasir eksterna hemorrhoid eksterna. wasir sendiri terbentuk akibat pembuluh darah vena di anus yang membengkak dikarenakan tekanan di sekitarnya yang tinggi. selain sembelit dan mengejan kuat saat bab, peningkatan tekanan di anus ini bisa pula disebabkan oleh kegemukan, kebiasaan duduk lama, kehamilan, persalinan normal, serta batuk atau diare kronis."
"hai dok, anak saya berusia2 bulan. sejak lahir ubunubunnya terlihat agak cembung.. soalnya waktu melahirkan itu saya dibantu dengan vakum, kata dokternya ubunubun bayi nantinya bisa kembali normal dok. tapi sampai anak saya berusia 2 bulan ubunubunnya masih aja cembung.. apa yg harus saya lakukan agar ubunubun bayi saya kembali normal ya dok","ubunubun bayi yang cembung sehabis melahirkan dengan bantuan vakum paling sering disebabkan olehcaput succedaneum. kondisi ini terjadi karena cidera fisik pada saat persalinan yang menyebabkan jaringan lunak di kepala mengalami edema dan membengkak.di samping itu, mungkin juga cembungnya ubunubun bayi anda disebabkan oleh faktor lain, seperti cephalhematoma, perdarahan di dalam tengkorak kepala, hidrosefalus, tumor otak, cidera kepala, dan banyak lagi gangguan medis lainnya."
"hay dok numpang tanya,adik saya kena penyakit ginjal,dan sekarang badan nya membengkak,dan susah buang air kecil,udah di bawa kerumah sakit jg beberapa kali dan sempat sembuh trus,brapa bulan kemudian kambuh lagi dan sekarag membengkak lg badan nya,jd prtanyaan saya aktivitas apa ya dok yg dipantang biar adik saya bisa sembuh","penyakit ginjal ada banyak jenisnya. jika merujuk pada gejala yang adik anda alami, yakni tubuhnya bengkak dan sulit buang air kecil, kemungkinan penyakit ginjal yang dialaminya ialah sindroma nefrotik, pyelonefritis, hidronefrosis, kanker ginjal, gagal ginjal, dan sebagainya. butuh evaluasi yang komprehensif untuk memastikan hal ini, termaduk lewat wawancara, pemeriksaan fisik, tes urin, tes darah, usg, biopsi ginjal, atau tes penunjang lainnya.kondisi adik anda sebaiknya diperiksakanlah langsung ke dokter, dokter ginjal, atau dokter anak terdekat."
"tolong bantuannya dokter, saya perempuan 24 tahun, saya sering kerja pake rok mini dan celana pendek tapi saya gak pede dok, soalnya dengkul saya hitam. sudah saya coba pake lulur tapi tetap aja gak bikin putih.. gimana ya dokter cara menghilangkan dengkul hitam ini biar saya bisa pede lagi pake yg pendek","lutut yang menghitam utamanya disebabkan oleh gesekan yang berlebihan. faktor lain, seperti paparan sinar matahari, perawatan kulit yang tidak tepat, hiperpigmentasi pasca luka atau radang, keturunan, xerosis, melasma, kanker kulit melanoma, gangguan hormon, dan sebagainya pun juga bisa membuat kulit lutut menghitam."
dok saya mau tanya mengenai mata yg timbilen benjolan di bagian kelopak mata saya dok. tidak bengkak berlebihan krna sudah 3 hari sprti klr nanah dan hmpir slrh klopak mata membengkak .... pengananannya seperti apa ya dok terimaksih dok,"baik sebelumnya saya akan beri penjelasan tentang penyebab mata bintitan terlebih dahulu, penyebab utama bintitan adalah infeksi bakteristaphylococcus. bakteri yang umum hidup di kulit ini dapat menyumbat kelenjar minyak di kelopak mata, sehingga menimbulkan peradangan. penyebab lain dari bintitan adalah kuman dan kulit mati yang terperangkap di ujung kelopak mata.ada beberapa faktor yang dapat meningkatkan risiko seseorang terkena bintitan, yaitumenyentuh mata dengan tangan yang kotor.menggunakan kosmetik yang sudah kadaluarsatidak membersihkan bekas kosmetik pada mata sebelum tidur."
"halo dok,, saya mau tanya.. saya remaja berusia 17 tahun.. selama ini saya mencuci muka dengan sabun bayi batangan. saya udah coba beberapa produk sabun cuci muka yg biasa, tapi tidak cocok di wajah saya dok. apakah benar yg saya lakukan dok apakah tidak apa2 sabun batangan digunakan untuk cuci muka","terima kasih atas pertanyaanya.sabun bayi umumnya tidak mengandung bahan iritan dan alergen karena disesuaikan dengan kondisi kulit bayi yang sensitif. sabun bayi juga umumnya terbuat dari bahan yang aman dan lembut agar tidak mengiritasi kulit bayi. penggunaan sabun bayi pada orang dewasa sering dilakukan, penggunaannya dinilai aman dan boleh dilakukan asal pada pengaplikasiannya tidak menyebabkan masalah pada kulit misalnya menyebabkan iritasi."
"hai dok,dok saya mau bertanya nih.. saya belakangan ini sering banget merasa perut yg kembung setiap selesai makan. padahal saya sebelumnya gak telat makan dok, kalo orang kan bakal rasain kembung kalo sebelumnya telat makan tuh ya, jam makan saya juga teratur kok padahal.. apa ya kira dok penyebabnya","selamat siang, terima kasih telah bertanya di alodokter. perut yang terasa kembung setelah makan, bisa terjadi karena dipengaruhi sejumlah faktor berikut, diantaranya adalahmengalami penyakit maagpenyakit asam lambungmengonsumsi makanan dalam jumlah banyak dalam sekali waktumengonsumsi makanan terlalu pedas dan asammengonsumsi makanan bergas seperti kubis, kol dan sawimengonsumsi kopimerokokmakan terlalu cepatuntuk bisa memastikan hal ini memang diperlukan pemeriksaan lebih lanjut."
